,index_x_x,fips,county,state_abbr,hs_diploma_percentage,unemployed_percentage,population,median_income,school_segration_index,gender_pay_gap,uninsured__percentage,school_funding_gap,residential_segregation,premature_death,income_inequality,child_poverty_percentage,life_expectancy,child_mortality,high_housing_cost_percentage,firearm_fatalities,child_care_cost_burden,index_y_x,index_x_y,political_party,index_y_y
0,2,1001,Autauga County,AL,0.903,0.022,60342.0,68857.0,0.058,0.707,0.082,-2319.66,33.959,9938.263,4.274,0.17,74.801,61.256,0.117,17.454,0.218,29,2263.0,R,29.0
1,3,1003,Baldwin County,AL,0.917,0.023,253507.0,74248.0,0.086,0.722,0.102,506.3,42.653,8957.113,4.36,0.141,76.58,50.158,0.101,14.962,0.194,30,2628.0,R,30.0
2,4,1005,Barbour County,AL,0.778,0.044,24585.0,45298.0,0.036,0.77,0.121,-17790.455,22.729,12738.656,5.614,0.348,72.709,71.707,0.095,26.65,0.286,31,1313.0,R,31.0
3,5,1007,Bibb County,AL,0.803,0.025,21868.0,56025.0,0.09,0.823,0.108,-3657.8,40.01,11708.948,5.347,0.214,72.977,87.077,0.091,21.542,0.266,32,1941.0,R,32.0
4,6,1009,Blount County,AL,0.827,0.021,59816.0,64962.0,0.094,0.813,0.125,-1559.425,64.886,11898.088,4.62,0.166,72.936,58.036,0.075,18.145,0.253,33,2351.0,R,33.0
6,8,1013,Butler County,AL,0.876,0.029,18382.0,44729.0,0.135,0.768,0.104,-11647.55,27.61,14616.393,5.214,0.374,71.542,69.877,0.078,28.076,0.334,35,1286.0,R,35.0
7,9,1015,Calhoun County,AL,0.861,0.028,116429.0,51841.0,0.189,0.8,0.118,-6896.99,46.161,14259.565,4.87,0.285,70.813,60.663,0.107,23.905,0.252,36,2773.0,R,36.0
8,10,1017,Chambers County,AL,0.836,0.024,34079.0,50390.0,0.124,0.68,0.127,-22570.905,30.561,12568.861,5.1,0.26,71.862,95.041,0.088,26.134,0.294,37,2249.0,R,37.0
9,11,1019,Cherokee County,AL,0.839,0.024,25666.0,56400.0,0.052,0.849,0.133,709.97,40.165,12680.903,4.549,0.205,72.396,56.665,0.077,23.288,0.213,38,1198.0,R,38.0
10,12,1021,Chilton County,AL,0.842,0.022,46431.0,59165.0,0.078,0.704,0.132,-3496.42,42.699,11802.633,4.012,0.215,72.707,60.048,0.091,18.292,0.253,39,1858.0,R,39.0
12,14,1025,Clarke County,AL,0.853,0.05,22337.0,50868.0,0.032,0.665,0.115,-11989.505,17.83,16382.036,5.604,0.287,69.95,119.075,0.108,21.532,0.281,41,1769.0,R,41.0
14,16,1029,Cleburne County,AL,0.854,0.023,15639.0,59526.0,0.098,0.813,0.124,261.93,52.541,12586.015,4.647,0.217,72.1,93.639,0.056,30.539,0.218,43,1304.0,R,43.0
15,17,1031,Coffee County,AL,0.86,0.025,55643.0,64737.0,0.072,0.628,0.115,-5510.55,43.227,10338.895,5.242,0.21,74.2,64.922,0.094,24.769,0.2,44,2014.0,R,44.0
16,18,1033,Colbert County,AL,0.875,0.029,58361.0,57770.0,0.062,0.721,0.107,-4385.045,28.075,12369.517,4.664,0.205,73.022,73.204,0.089,23.138,0.258,45,2322.0,R,45.0
17,19,1035,Conecuh County,AL,0.875,0.035,11174.0,46702.0,0.158,0.666,0.106,-25715.25,15.553,18927.733,5.334,0.431,68.961,164.251,0.051,34.055,0.306,46,1417.0,R,46.0
19,21,1039,Covington County,AL,0.862,0.027,37952.0,50119.0,0.079,0.731,0.11,-4252.117,41.034,14664.189,5.631,0.224,70.64,72.901,0.09,23.107,0.3,48,2077.0,R,48.0
21,23,1043,Cullman County,AL,0.85,0.02,92016.0,61231.0,0.047,0.682,0.116,1432.949,79.418,11852.912,4.575,0.213,72.854,50.675,0.079,15.282,0.242,50,2725.0,R,50.0
22,24,1045,Dale County,AL,0.857,0.025,49871.0,54697.0,0.09,0.716,0.105,-7736.553,31.215,11939.042,4.811,0.22,73.009,56.53,0.108,25.206,0.237,51,1947.0,R,51.0
23,25,1047,Dallas County,AL,0.871,0.054,36165.0,39013.0,0.216,0.72,0.097,-21824.005,49.682,20426.822,5.593,0.465,67.706,73.402,0.132,48.39,0.385,52,2653.0,R,52.0
24,26,1049,DeKalb County,AL,0.789,0.023,72569.0,50614.0,0.16,0.787,0.152,-2167.235,74.767,11969.447,4.793,0.288,72.358,61.092,0.09,18.417,0.237,53,2315.0,R,53.0
25,27,1051,Elmore County,AL,0.896,0.021,90441.0,73125.0,0.088,0.783,0.09,-4332.465,32.186,9508.116,4.042,0.17,74.605,72.689,0.088,20.277,0.206,54,2605.0,R,54.0
26,28,1053,Escambia County,AL,0.825,0.031,36558.0,50333.0,0.173,0.809,0.124,-4481.115,36.929,15044.632,5.398,0.29,70.098,103.015,0.11,19.123,0.285,55,2104.0,R,55.0
27,29,1055,Etowah County,AL,0.858,0.028,103241.0,52504.0,0.217,0.774,0.113,-6894.09,64.665,14706.297,4.879,0.255,70.243,76.397,0.1,22.79,0.23,56,2819.0,R,56.0
28,30,1057,Fayette County,AL,0.852,0.029,15967.0,49235.0,0.095,0.657,0.116,-1206.15,48.07,14667.279,5.541,0.22,70.679,106.362,0.082,18.463,0.301,57,707.0,R,57.0
29,31,1059,Franklin County,AL,0.795,0.026,31802.0,49682.0,0.173,0.778,0.137,-2586.55,66.251,13058.987,4.552,0.344,71.506,61.326,0.081,13.276,0.298,58,1971.0,R,58.0
30,32,1061,Geneva County,AL,0.832,0.024,26988.0,50006.0,0.027,0.79,0.121,-2347.83,25.556,14287.285,4.396,0.27,70.58,94.507,0.117,15.851,0.257,59,1714.0,R,59.0
32,34,1065,Hale County,AL,0.819,0.033,14888.0,42380.0,0.232,0.613,0.114,-11828.75,25.776,15927.467,6.016,0.322,69.946,100.207,0.126,36.787,0.349,61,1487.0,R,61.0
33,35,1067,Henry County,AL,0.822,0.026,17899.0,55598.0,0.056,0.778,0.113,-3381.63,35.358,10894.195,5.822,0.227,74.217,96.302,0.073,27.665,0.231,62,954.0,R,62.0
34,36,1069,Houston County,AL,0.874,0.026,108462.0,59412.0,0.173,0.73,0.117,-5736.74,46.775,11251.056,5.165,0.246,73.542,63.787,0.12,23.652,0.218,63,2788.0,R,63.0
35,37,1071,Jackson County,AL,0.821,0.025,53467.0,51479.0,0.104,0.737,0.13,120.015,59.928,13931.868,4.635,0.192,70.9,69.81,0.079,24.558,0.233,64,2469.0,R,64.0
36,38,1073,Jefferson County,AL,0.91,0.025,662895.0,64726.0,0.341,0.796,0.096,-9918.123,63.434,13163.518,5.467,0.215,72.432,88.847,0.142,35.143,0.255,65,3088.0,R,65.0
38,40,1077,Lauderdale County,AL,0.893,0.025,96814.0,63895.0,0.184,0.737,0.106,-780.31,48.722,9936.857,4.796,0.168,74.904,43.296,0.102,14.304,0.233,67,2244.0,R,67.0
39,41,1079,Lawrence County,AL,0.846,0.023,33502.0,61064.0,0.081,0.695,0.122,-188.32,68.316,13633.174,4.307,0.192,71.145,60.804,0.072,24.236,0.242,68,1968.0,R,68.0
40,42,1081,Lee County,AL,0.914,0.023,183215.0,62301.0,0.095,0.773,0.1,-2612.277,33.693,7894.487,6.401,0.149,77.146,59.33,0.16,17.579,0.238,69,2720.0,R,69.0
