gini_index,state_fips,county_fips,county,state,fips
0.4515,1,001,Autauga County, Alabama,1001
0.4589,1,003,Baldwin County, Alabama,1003
0.5061,1,005,Barbour County, Alabama,1005
0.4526,1,007,Bibb County, Alabama,1007
0.4461,1,009,Blount County, Alabama,1009
0.4981,1,0011,Bullock County, Alabama,10011
0.4969,1,0013,Butler County, Alabama,10013
0.4586,1,0015,Calhoun County, Alabama,10015
0.4367,1,0017,Chambers County, Alabama,10017
0.4541,1,0019,Cherokee County, Alabama,10019
0.4259,1,0021,Chilton County, Alabama,10021
0.4554,1,0023,Choctaw County, Alabama,10023
0.5221,1,0025,Clarke County, Alabama,10025
0.464,1,0027,Clay County, Alabama,10027
0.4538,1,0029,Cleburne County, Alabama,10029
0.4451,1,0031,Coffee County, Alabama,10031
0.453,1,0033,Colbert County, Alabama,10033
0.4827,1,0035,Conecuh County, Alabama,10035
0.3946,1,0037,Coosa County, Alabama,10037
0.4934,1,0039,Covington County, Alabama,10039
0.5108,1,0041,Crenshaw County, Alabama,10041
0.4372,1,0043,Cullman County, Alabama,10043
0.4498,1,0045,Dale County, Alabama,10045
0.5047,1,0047,Dallas County, Alabama,10047
0.4417,1,0049,DeKalb County, Alabama,10049
0.4359,1,0051,Elmore County, Alabama,10051
0.4684,1,0053,Escambia County, Alabama,10053
0.4765,1,0055,Etowah County, Alabama,10055
0.4646,1,0057,Fayette County, Alabama,10057
0.4373,1,0059,Franklin County, Alabama,10059
0.4222,1,0061,Geneva County, Alabama,10061
0.4879,1,0063,Greene County, Alabama,10063
0.4965,1,0065,Hale County, Alabama,10065
0.4785,1,0067,Henry County, Alabama,10067
0.4788,1,0069,Houston County, Alabama,10069
0.4464,1,0071,Jackson County, Alabama,10071
0.5102,1,0073,Jefferson County, Alabama,10073
0.4273,1,0075,Lamar County, Alabama,10075
0.4583,1,0077,Lauderdale County, Alabama,10077
0.4382,1,0079,Lawrence County, Alabama,10079
0.5057,1,0081,Lee County, Alabama,10081
0.4263,1,0083,Limestone County, Alabama,10083
0.5368,1,0085,Lowndes County, Alabama,10085
0.4794,1,0087,Macon County, Alabama,10087
0.4659,1,0089,Madison County, Alabama,10089
0.5148,1,0091,Marengo County, Alabama,10091
0.4586,1,0093,Marion County, Alabama,10093
0.4588,1,0095,Marshall County, Alabama,10095
0.4649,1,0097,Mobile County, Alabama,10097
0.4692,1,0099,Monroe County, Alabama,10099
0.4842,1,00101,Montgomery County, Alabama,100101
0.4473,1,00103,Morgan County, Alabama,100103
0.366,1,00105,Perry County, Alabama,100105
0.4626,1,00107,Pickens County, Alabama,100107
0.4952,1,00109,Pike County, Alabama,100109
0.4749,1,00111,Randolph County, Alabama,100111
0.4683,1,00113,Russell County, Alabama,100113
0.4003,1,00115,St. Clair County, Alabama,100115
0.4454,1,00117,Shelby County, Alabama,100117
0.4488,1,00119,Sumter County, Alabama,100119
0.4681,1,00121,Talladega County, Alabama,100121
0.4748,1,00123,Tallapoosa County, Alabama,100123
0.4671,1,00125,Tuscaloosa County, Alabama,100125
0.4518,1,00127,Walker County, Alabama,100127
0.4713,1,00129,Washington County, Alabama,100129
0.4953,1,00131,Wilcox County, Alabama,100131
0.4597,1,00133,Winston County, Alabama,100133
0.3953,2,0013,Aleutians East Borough, Alaska,20013
0.3462,2,0016,Aleutians West Census Area, Alaska,20016
0.4327,2,0020,Anchorage Municipality, Alaska,20020
0.453,2,0050,Bethel Census Area, Alaska,20050
0.4307,2,0060,Bristol Bay Borough, Alaska,20060
0.3634,2,0063,Chugach Census Area, Alaska,20063
0.4087,2,0066,Copper River Census Area, Alaska,20066
0.4018,2,0068,Denali Borough, Alaska,20068
0.4149,2,0070,Dillingham Census Area, Alaska,20070
0.4243,2,0090,Fairbanks North Star Borough, Alaska,20090
0.4264,2,00100,Haines Borough, Alaska,200100
0.4606,2,00105,Hoonah-Angoon Census Area, Alaska,200105
0.4157,2,00110,Juneau City and Borough, Alaska,200110
0.4578,2,00122,Kenai Peninsula Borough, Alaska,200122
0.4318,2,00130,Ketchikan Gateway Borough, Alaska,200130
0.4154,2,00150,Kodiak Island Borough, Alaska,200150
0.4404,2,00158,Kusilvak Census Area, Alaska,200158
0.4177,2,00164,Lake and Peninsula Borough, Alaska,200164
