,state_abbr,county,fips,school_funding_gap,child_poverty_percentage,income_inequality,firearm_fatalities,median_income,life_expectancy,premature_death,political_party
0,AL,Autauga County,1001,-2319.66,0.17,4.274,17.454,68857.0,74.801,9938.263,R
1,AL,Baldwin County,1003,506.3,0.141,4.36,14.962,74248.0,76.58,8957.113,R
2,AL,Barbour County,1005,-17790.455,0.348,5.614,26.65,45298.0,72.709,12738.656,R
3,AL,Bibb County,1007,-3657.8,0.214,5.347,21.542,56025.0,72.977,11708.948,R
4,AL,Blount County,1009,-1559.425,0.166,4.62,18.145,64962.0,72.936,11898.088,R
6,AL,Butler County,1013,-11647.55,0.374,5.214,28.076,44729.0,71.542,14616.393,R
7,AL,Calhoun County,1015,-6896.99,0.285,4.87,23.905,51841.0,70.813,14259.565,R
8,AL,Chambers County,1017,-22570.905,0.26,5.1,26.134,50390.0,71.862,12568.861,R
9,AL,Cherokee County,1019,709.97,0.205,4.549,23.288,56400.0,72.396,12680.903,R
10,AL,Chilton County,1021,-3496.42,0.215,4.012,18.292,59165.0,72.707,11802.633,R
12,AL,Clarke County,1025,-11989.505,0.287,5.604,21.532,50868.0,69.95,16382.036,R
14,AL,Cleburne County,1029,261.93,0.217,4.647,30.539,59526.0,72.1,12586.015,R
15,AL,Coffee County,1031,-5510.55,0.21,5.242,24.769,64737.0,74.2,10338.895,R
16,AL,Colbert County,1033,-4385.045,0.205,4.664,23.138,57770.0,73.022,12369.517,R
17,AL,Conecuh County,1035,-25715.25,0.431,5.334,34.055,46702.0,68.961,18927.733,R
19,AL,Covington County,1039,-4252.117,0.224,5.631,23.107,50119.0,70.64,14664.189,R
21,AL,Cullman County,1043,1432.949,0.213,4.575,15.282,61231.0,72.854,11852.912,R
22,AL,Dale County,1045,-7736.553,0.22,4.811,25.206,54697.0,73.009,11939.042,R
23,AL,Dallas County,1047,-21824.005,0.465,5.593,48.39,39013.0,67.706,20426.822,R
24,AL,DeKalb County,1049,-2167.235,0.288,4.793,18.417,50614.0,72.358,11969.447,R
25,AL,Elmore County,1051,-4332.465,0.17,4.042,20.277,73125.0,74.605,9508.116,R
26,AL,Escambia County,1053,-4481.115,0.29,5.398,19.123,50333.0,70.098,15044.632,R
27,AL,Etowah County,1055,-6894.09,0.255,4.879,22.79,52504.0,70.243,14706.297,R
28,AL,Fayette County,1057,-1206.15,0.22,5.541,18.463,49235.0,70.679,14667.279,R
