,fips,population,median_income,school_segration_index,gender_pay_gap,school_funding_gap,residential_segregation,premature_death,income_inequality,life_expectancy,child_mortality,firearm_fatalities,child_care_cost_burden,county,state_abbr,state,hs_graduates_total,unemployed_total,uninsured_total,high_housing_cost_total,child_poverty_total
3,10001,189789.0,72498.0,0.06,0.83,2597.2,30.83,10077.93,3.9,75.08,65.73,13.02,0.22,Kent County,DE,Delaware,171180.59,8564.89,14232.27,25415.94,30745.82
4,10003,578592.0,86798.0,0.14,0.84,3921.97,45.77,8585.83,4.46,77.07,55.21,13.27,0.27,New Castle County,DE,Delaware,535725.64,22451.11,35670.29,73762.68,84474.43
5,10005,263509.0,78092.0,0.07,0.87,798.66,41.25,9330.09,4.19,77.09,48.02,10.18,0.21,Sussex County,DE,Delaware,236215.15,10121.98,22039.27,30857.18,45060.04
6,1001,60342.0,68857.0,0.06,0.71,-2319.66,33.96,9938.26,4.27,74.8,61.26,17.45,0.22,Autauga County,AL,Alabama,54476.1,1320.82,4942.23,7090.01,10258.14
7,1003,253507.0,74248.0,0.09,0.72,506.3,42.65,8957.11,4.36,76.58,50.16,14.96,0.19,Baldwin County,AL,Alabama,232545.52,5778.68,25889.0,25729.55,35744.49
8,1005,24585.0,45298.0,0.04,0.77,-17790.46,22.73,12738.66,5.61,72.71,71.71,26.65,0.29,Barbour County,AL,Alabama,19130.5,1089.37,2978.97,2338.61,8555.58
9,1007,21868.0,56025.0,0.09,0.82,-3657.8,40.01,11708.95,5.35,72.98,87.08,21.54,0.27,Bibb County,AL,Alabama,17568.8,538.47,2369.57,1979.28,4679.75
10,1009,59816.0,64962.0,0.09,0.81,-1559.42,64.89,11898.09,4.62,72.94,58.04,18.14,0.25,Blount County,AL,Alabama,49465.56,1282.63,7486.32,4486.56,9929.46
11,1011,9897.0,36204.0,0.01,0.78,-27966.27,34.3,15998.09,6.81,70.97,,29.56,0.42,Bullock County,AL,Alabama,7328.18,235.33,1129.16,1312.39,3939.01
12,1013,18382.0,44729.0,0.13,0.77,-11647.55,27.61,14616.39,5.21,71.54,69.88,28.08,0.33,Butler County,AL,Alabama,16101.7,536.63,1908.13,1437.35,6874.87
