,fips,hs_diploma,unemployed,population ,rural_population,median_income,school_segration_index,gender_pay_gap,water_quality,air_quality,uninsured,adverse_climate,school_funding_gap,residential_segregation,premature_death,income_inequality,child_poverty,life_expectancy,child_mortality,infant_mortality,disability_adults,county,state_abbr,state,state_ltss_enrollment,state_insitutional_enrollment,state_hcbs_enrollment,state_ltss_expense,state_insitutional_expense,state_hcbs_expense
0,10001,0.901952128,0.045128482,189789.0,0.264716719,72498.0,0.061213705,0.833952509,1.0,7.3,0.074989942,0.0,2597.2025,30.83158302,10077.93219,3.895216401,0.162,75.08467685,65.73158191,6.188618324,0.271,Kent County,DE,Delaware,25773.0,4518.0,22276.0,847211964.0,280967424.0,566244540.0
1,10003,0.925912637,0.038803007,578592.0,0.060942425,86798.0,0.136007411,0.836121098,0.0,8.3,0.061650156,1.0,3921.972,45.77217374,8585.833608,4.464387389,0.146,77.06782674,55.20579697,6.942216927,0.267,New Castle County,DE,Delaware,25773.0,4518.0,22276.0,847211964.0,280967424.0,566244540.0
2,10005,0.896421574,0.038412292,263509.0,0.375818315,78092.0,0.0737696,0.869902846,1.0,7.2,0.083637648,0.0,798.6642857,41.24885495,9330.092469,4.189560517,0.171,77.0946908,48.02271683,4.997532083,0.26,Sussex County,DE,Delaware,25773.0,4518.0,22276.0,847211964.0,280967424.0,566244540.0
3,1001,0.902789021,0.021888889,60342.0,0.406768132,68857.0,0.0582343,0.706879893,0.0,9.3,0.081903607,2.0,-2319.66,33.95931356,9938.263382,4.273712038,0.17,74.80064583,61.25574273,7.380851961,0.311,Autauga County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
4,1003,0.917313999,0.02279497,253507.0,0.375864554,74248.0,0.08572244,0.721986457,0.0,7.8,0.102123421,2.0,506.3,42.65263975,8957.112686,4.359525711,0.141,76.58010923,50.15829775,5.389366598,0.296,Baldwin County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
5,1005,0.778137055,0.044310171,24585.0,0.659199937,45298.0,0.03561124,0.77034202,0.0,8.8,0.121170417,2.0,-17790.455,22.72941962,12738.65614,5.61433911,0.348,72.70899171,71.70707659,,0.407,Barbour County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
6,1007,0.803402172,0.024623803,21868.0,1.0,56025.0,0.08963219,0.822826205,1.0,8.6,0.108357988,1.0,-3657.8,40.00999904,11708.94804,5.346727121,0.214,72.97737851,87.07678123,,0.37,Bibb County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
7,1009,0.826962016,0.021442948,59816.0,0.90489397,64962.0,0.093994269,0.812991705,0.0,8.8,0.125155822,1.0,-1559.425,64.8856507,11898.08841,4.619722179,0.166,72.9361723,58.03632391,8.045733644,0.358,Blount County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
8,1011,0.740444565,0.023777778,9897.0,1.0,36204.0,0.013587906,0.78159503,0.0,8.4,0.114090909,1.0,-27966.27,34.30447838,15998.08921,6.80699175,0.398,70.96745637,,,0.451,Bullock County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
9,1013,0.875949559,0.029193029,18382.0,0.694346754,44729.0,0.134962833,0.76772508,0.0,8.4,0.103804043,2.0,-11647.55,27.61023157,14616.39262,5.213717337,0.374,71.54191707,69.87744571,,0.384,Butler County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
10,1015,0.860862045,0.028194993,116429.0,0.364940184,51841.0,0.189305151,0.799579591,0.0,8.9,0.118333427,1.0,-6896.99,46.16131774,14259.5648,4.869511526,0.285,70.81315487,60.66283064,6.683194998,0.339,Calhoun County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
11,1017,0.836219572,0.023844641,34079.0,0.507448522,50390.0,0.124300674,0.680147837,0.0,8.9,0.127380724,1.0,-22570.905,30.56094532,12568.86064,5.09987434,0.26,71.86178322,95.04145774,9.015777611,0.388,Chambers County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
12,1019,0.838685626,0.023958158,25666.0,1.0,56400.0,0.052029622,0.849278185,0.0,8.4,0.132541518,1.0,709.97,40.16534651,12680.90303,4.549425082,0.205,72.39552918,56.66525004,,0.332,Cherokee County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
13,1021,0.841870752,0.021928744,46431.0,0.855444973,59165.0,0.078253044,0.703776919,0.0,8.9,0.131817455,1.0,-3496.42,42.69940192,11802.63262,4.012359927,0.215,72.70685113,60.04846769,,0.328,Chilton County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
14,1023,0.842187153,0.040037906,12252.0,1.0,47432.0,0.147111146,0.612527289,1.0,8.7,0.111629421,2.0,-16030.77,31.00931955,12977.18171,5.544504007,0.358,73.06127106,,,0.389,Choctaw County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
15,1025,0.85268696,0.049927546,22337.0,1.0,50868.0,0.032231118,0.665081929,0.0,8.8,0.114812887,2.0,-11989.505,17.83000109,16382.03579,5.603789518,0.287,69.94988944,119.0748798,,0.382,Clarke County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
16,1027,0.82756604,0.023549201,14111.0,1.0,52077.0,0.011211435,0.877466411,0.0,6.8,0.105563094,1.0,-4227.11,28.24457157,13312.80479,4.85602511,0.25,71.85113955,,,0.38,Clay County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
17,1029,0.853972931,0.02272361,15639.0,1.0,59526.0,0.098474616,0.812768501,0.0,8.3,0.123872959,0.0,261.93,52.54140897,12586.01458,4.64732675,0.217,72.10033275,93.63922146,,0.362,Cleburne County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
18,1031,0.860231953,0.02506772,55643.0,0.475301599,64737.0,0.071858219,0.627791085,1.0,8.9,0.115180798,2.0,-5510.55,43.22676476,10338.89502,5.241720466,0.21,74.19950446,64.92218355,4.552352049,0.314,Coffee County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
19,1033,0.875494168,0.029422765,58361.0,0.402956646,57770.0,0.062291938,0.720718688,0.0,7.5,0.106887377,1.0,-4385.045,28.07531502,12369.51714,4.663811292,0.205,73.02242545,73.20362165,7.501704933,0.337,Colbert County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
20,1035,0.874861573,0.035454332,11174.0,1.0,46702.0,0.157891811,0.666159072,0.0,8.5,0.1057657,2.0,-25715.25,15.55261401,18927.73328,5.334341027,0.431,68.96108599,164.2512077,,0.377,Conecuh County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
21,1037,0.827725268,0.02550011,10268.0,1.0,59736.0,0.008523325,0.577894438,0.0,8.5,0.094940152,1.0,-8716.43,55.52493673,14409.56157,4.003517569,0.28,72.23053563,,,0.367,Coosa County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
22,1039,0.861823954,0.027434104,37952.0,0.688155443,50119.0,0.078571616,0.731133966,0.0,8.6,0.110344828,3.0,-4252.116667,41.03403466,14664.18937,5.630539574,0.224,70.64011388,72.90060283,6.704659739,0.346,Covington County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
23,1041,0.825790861,0.026623377,13101.0,1.0,49128.0,0.031439303,0.776134355,0.0,8.5,0.131403118,2.0,-5180.06,26.42696788,13951.80902,5.75846951,0.271,70.41892702,,,0.363,Crenshaw County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
24,1043,0.849951923,0.02041586,92016.0,0.755992079,61231.0,0.047219747,0.681543684,0.0,8.7,0.116478945,1.0,1432.949,79.41780992,11852.91175,4.574992156,0.213,72.85378833,50.67468034,4.927536232,0.358,Cullman County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
25,1045,0.857235753,0.025332579,49871.0,0.504520942,54697.0,0.089635593,0.71607849,0.0,9.0,0.104912114,2.0,-7736.553333,31.21496679,11939.04216,4.811100247,0.22,73.00873037,56.53025378,7.01381509,0.341,Dale County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
26,1047,0.870584545,0.054221763,36165.0,0.448624617,39013.0,0.216001965,0.719733424,0.0,8.7,0.097366264,2.0,-21824.005,49.68165217,20426.82214,5.59288295,0.465,67.70649327,73.40219158,,0.391,Dallas County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
27,1049,0.789451964,0.022706748,72569.0,0.882973969,50614.0,0.160474576,0.786963399,0.0,7.2,0.151986213,1.0,-2167.235,74.76689458,11969.44661,4.792720454,0.288,72.35761555,61.09222269,7.466574058,0.411,DeKalb County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
28,1051,0.895891207,0.021298648,90441.0,0.712368005,73125.0,0.087701136,0.782894625,0.0,9.4,0.089943794,2.0,-4332.465,32.18576504,9508.116084,4.04200006,0.17,74.60542113,72.68850552,7.414272475,0.32,Elmore County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
29,1053,0.825326483,0.031163435,36558.0,0.652828033,50333.0,0.172913584,0.808737251,0.0,8.9,0.124166333,2.0,-4481.115,36.9290261,15044.63237,5.397573802,0.29,70.09832814,103.0152852,8.786202408,0.392,Escambia County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
30,1055,0.857778696,0.027948263,103241.0,0.431696895,52504.0,0.217295492,0.774095971,0.0,7.9,0.112525627,1.0,-6894.09,64.66534234,14706.29742,4.879198966,0.255,70.24328932,76.39734881,5.997361161,0.359,Etowah County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
31,1057,0.852317291,0.028866606,15967.0,1.0,49235.0,0.095386111,0.6568,0.0,8.3,0.11555484,1.0,-1206.15,48.07037215,14667.27873,5.540806555,0.22,70.67948309,106.361763,,0.389,Fayette County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
32,1059,0.794857251,0.025689619,31802.0,0.690499175,49682.0,0.172695545,0.777912458,0.0,7.5,0.136997853,1.0,-2586.55,66.25135007,13058.98714,4.551877583,0.344,71.50637361,61.32640248,,0.384,Franklin County,AL,Alabama,97317.0,22596.0,77260.0,1794099619.0,1143893469.0,650206150.0
