state_abbr,county,fips,bachelors_or_more,hs_diploma,no_hs_diploma,some_college,labor_force,employed,unemployed,population,cost_of_living,median_income,race_diversity_rank,gender_diversity_rank,state
SC,Abbeville County,45001,3332.0,6462.0,2380.0,5066.0,9475.0,9111.0,364.0,24356.0,59187.77,53251.2,1437.0,1488.0,South Carolina
LA,Acadia Parish,22001,5071.0,16437.0,7296.0,8965.0,23726.0,22861.0,865.0,56744.0,66328.31,58169.7,2473.0,2242.0,Louisiana
VA,Accomack County,51001,5314.0,8508.0,4201.0,6359.0,15584.0,15086.0,498.0,33191.0,65524.01,59259.16,1851.0,1823.0,Virginia
ID,Ada County,16001,153355.0,68395.0,17238.0,110333.0,280810.0,274032.0,6778.0,518907.0,78164.83,87161.1,3022.0,3019.0,Idaho
IA,Adair County,19001,1052.0,2130.0,287.0,1788.0,4317.0,4223.0,94.0,7494.0,66441.61,75375.2,618.0,855.0,Iowa
KY,Adair County,21001,2402.0,4929.0,1820.0,3655.0,7139.0,6802.0,337.0,19067.0,62020.51,48017.46,714.0,760.0,Kentucky
MO,Adair County,29001,4918.0,4653.0,1020.0,3441.0,9771.0,9468.0,303.0,25165.0,64306.03,64729.06,1362.0,1102.0,Missouri
OK,Adair County,40001,1508.0,5772.0,2193.0,3304.0,8674.0,8380.0,294.0,19576.0,69181.08,44935.96,2150.0,2065.0,Oklahoma
CO,Adams County,8001,96383.0,98198.0,51641.0,97726.0,281314.0,271745.0,9569.0,527575.0,93063.48,82814.55,3050.0,3015.0,Colorado
IA,Adams County,19003,649.0,913.0,197.0,894.0,2101.0,2058.0,43.0,3611.0,64865.55,68836.37,127.0,6.0,Iowa
ID,Adams County,16003,765.0,1265.0,255.0,1306.0,1882.0,1778.0,104.0,4817.0,68889.04,58539.35,334.0,503.0,Idaho
IL,Adams County,17001,12176.0,15753.0,2958.0,14281.0,30667.0,29599.0,1068.0,64725.0,69538.98,70670.27,2583.0,2324.0,Illinois
IN,Adams County,18001,3282.0,9838.0,2808.0,5619.0,17014.0,16632.0,382.0,36068.0,66734.61,67369.03,1264.0,1321.0,Indiana
MS,Adams County,28001,3923.0,7019.0,3330.0,6050.0,10452.0,9923.0,529.0,28408.0,58994.61,40565.79,1915.0,1752.0,Mississippi
ND,Adams County,38001,324.0,579.0,119.0,539.0,950.0,931.0,19.0,2115.0,66507.52,88849.2,141.0,52.0,North Dakota
