NAME,B19083_001E,state,county
"Autauga County, Alabama",0.4515,1,1
"Baldwin County, Alabama",0.4589,1,3
"Barbour County, Alabama",0.5061,1,5
"Bibb County, Alabama",0.4526,1,7
"Blount County, Alabama",0.4461,1,9
"Bullock County, Alabama",0.4981,1,11
"Butler County, Alabama",0.4969,1,13
"Calhoun County, Alabama",0.4586,1,15
"Chambers County, Alabama",0.4367,1,17
"Cherokee County, Alabama",0.4541,1,19
"Chilton County, Alabama",0.4259,1,21
"Choctaw County, Alabama",0.4554,1,23
"Clarke County, Alabama",0.5221,1,25
"Clay County, Alabama",0.464,1,27
"Cleburne County, Alabama",0.4538,1,29
"Coffee County, Alabama",0.4451,1,31
"Colbert County, Alabama",0.453,1,33
"Conecuh County, Alabama",0.4827,1,35
"Coosa County, Alabama",0.3946,1,37
"Covington County, Alabama",0.4934,1,39
"Crenshaw County, Alabama",0.5108,1,41
"Cullman County, Alabama",0.4372,1,43
"Dale County, Alabama",0.4498,1,45
"Dallas County, Alabama",0.5047,1,47
"DeKalb County, Alabama",0.4417,1,49
"Elmore County, Alabama",0.4359,1,51
"Escambia County, Alabama",0.4684,1,53
"Etowah County, Alabama",0.4765,1,55
"Fayette County, Alabama",0.4646,1,57
"Franklin County, Alabama",0.4373,1,59
"Geneva County, Alabama",0.4222,1,61
"Greene County, Alabama",0.4879,1,63
"Hale County, Alabama",0.4965,1,65
"Henry County, Alabama",0.4785,1,67
"Houston County, Alabama",0.4788,1,69
"Jackson County, Alabama",0.4464,1,71
"Jefferson County, Alabama",0.5102,1,73
"Lamar County, Alabama",0.4273,1,75
"Lauderdale County, Alabama",0.4583,1,77
"Lawrence County, Alabama",0.4382,1,79
"Lee County, Alabama",0.5057,1,81
"Limestone County, Alabama",0.4263,1,83
"Lowndes County, Alabama",0.5368,1,85
"Macon County, Alabama",0.4794,1,87
"Madison County, Alabama",0.4659,1,89
"Marengo County, Alabama",0.5148,1,91
"Marion County, Alabama",0.4586,1,93
"Marshall County, Alabama",0.4588,1,95
"Mobile County, Alabama",0.4649,1,97
"Monroe County, Alabama",0.4692,1,99
"Montgomery County, Alabama",0.4842,1,101
"Morgan County, Alabama",0.4473,1,103
"Perry County, Alabama",0.366,1,105
"Pickens County, Alabama",0.4626,1,107
"Pike County, Alabama",0.4952,1,109
"Randolph County, Alabama",0.4749,1,111
"Russell County, Alabama",0.4683,1,113
"St. Clair County, Alabama",0.4003,1,115
"Shelby County, Alabama",0.4454,1,117
"Sumter County, Alabama",0.4488,1,119
"Talladega County, Alabama",0.4681,1,121
"Tallapoosa County, Alabama",0.4748,1,123
"Tuscaloosa County, Alabama",0.4671,1,125
"Walker County, Alabama",0.4518,1,127
"Washington County, Alabama",0.4713,1,129
"Wilcox County, Alabama",0.4953,1,131
"Winston County, Alabama",0.4597,1,133
"Aleutians East Borough, Alaska",0.3953,2,13
"Aleutians West Census Area, Alaska",0.3462,2,16
"Anchorage Municipality, Alaska",0.4327,2,20
"Bethel Census Area, Alaska",0.453,2,50
"Bristol Bay Borough, Alaska",0.4307,2,60
"Chugach Census Area, Alaska",0.3634,2,63
"Copper River Census Area, Alaska",0.4087,2,66
"Denali Borough, Alaska",0.4018,2,68
"Dillingham Census Area, Alaska",0.4149,2,70
"Fairbanks North Star Borough, Alaska",0.4243,2,90
"Haines Borough, Alaska",0.4264,2,100
