raw_variable, new_name
fipscode,fips
county,county
state,state_abbr
v168_rawvalue,hs_diploma
v023_rawvalue,unemployed
v051_rawvalue,population 
v058_rawvalue,rural_population
v063_rawvalue,median_income
v167_rawvalue,school_segration_index
v151_rawvalue,gender_pay_gap
v124_rawvalue,water_quality
v125_rawvalue,air_quality
v085_rawvalue,uninsured
v182_rawvalue,adverse_climate
v169_rawvalue,school_funding_gap
v170_rawvalue,living_wage
v141_rawvalue,residential_segregation
v001_rawvalue,premature_death
v044_rawvalue,income_inequality
v024_rawvalue,child_poverty
v147_rawvalue,life_expectancy
v128_rawvalue,child_mortality
v129_rawvalue,infant_mortality
v180_rawvalue,disability_adults
