State FIPS,County FIPS,County Name,State Name,Direction of Change
01,077,"Lauderdale County, AL",Alabama,Decrease
01,083,"Limestone County, AL",Alabama,Decrease
01,097,"Mobile County, AL",Alabama,Decrease
01,111,"Randolph County, AL",Alabama,Decrease
01,117,"Shelby County, AL",Alabama,Increase
02,050,"Bethel Census Area, AK",Alaska,Increase
02,060,"Bristol Bay Borough, AK",Alaska,Increase
04,009,"Graham County, AZ",Arizona,Decrease
04,013,"Maricopa County, AZ",Arizona,Decrease
04,015,"Mohave County, AZ",Arizona,Increase
05,005,"Baxter County, AR",Arkansas,Increase
05,007,"Benton County, AR",Arkansas,Decrease
05,033,"Crawford County, AR",Arkansas,Decrease
05,111,"Poinsett County, AR",Arkansas,Decrease
05,131,"Sebastian County, AR",Arkansas,Decrease
06,001,"Alameda County, CA",California,Decrease
06,007,"Butte County, CA",California,Increase
06,015,"Del Norte County, CA",California,Decrease
06,019,"Fresno County, CA",California,Decrease
06,025,"Imperial County, CA",California,Decrease
06,037,"Los Angeles County, CA",California,Decrease
06,041,"Marin County, CA",California,Increase
06,043,"Mariposa County, CA",California,Increase
06,057,"Nevada County, CA",California,Increase
06,069,"San Benito County, CA",California,Decrease
06,073,"San Diego County, CA",California,Decrease
06,075,"San Francisco County, CA",California,Increase
06,081,"San Mateo County, CA",California,Increase
06,083,"Santa Barbara County, CA",California,Increase
06,103,"Tehama County, CA",California,Decrease
06,107,"Tulare County, CA",California,Decrease
06,115,"Yuba County, CA",California,Decrease
08,001,"Adams County, CO",Colorado,Decrease
08,031,"Denver County, CO",Colorado,Decrease
08,035,"Douglas County, CO",Colorado,Increase
08,041,"El Paso County, CO",Colorado,Decrease
08,053,"Hinsdale County, CO",Colorado,Decrease
08,069,"Larimer County, CO",Colorado,Decrease
08,097,"Pitkin County, CO",Colorado,Increase
08,101,"Pueblo County, CO",Colorado,Decrease
08,109,"Saguache County, CO",Colorado,Decrease
08,123,"Weld County, CO",Colorado,Decrease
11,001,"District of Columbia, DC",District of Columbia,Decrease
12,001,"Alachua County, FL",Florida,Decrease
12,011,"Broward County, FL",Florida,Increase
12,017,"Citrus County, FL",Florida,Increase
12,031,"Duval County, FL",Florida,Increase
12,053,"Hernando County, FL",Florida,Increase
12,057,"Hillsborough County, FL",Florida,Increase
12,063,"Jackson County, FL",Florida,Decrease
12,065,"Jefferson County, FL",Florida,Increase
12,071,"Lee County, FL",Florida,Increase
