state,county,fips,state_abbr,hs_diploma_percentage,unemployed_percentage,population,median_income,school_segration_index,gender_pay_gap,uninsured__percentage,school_funding_gap,residential_segregation,premature_death,income_inequality,child_poverty_percentage,life_expectancy,child_mortality,high_housing_cost_percentage,firearm_fatalities,child_care_cost_burden,political_party
Alabama,Autauga County,1001,AL,0.9,0.02,60342.0,68857.0,0.06,0.71,0.08,-2319.66,33.96,9938.26,4.27,0.17,74.8,61.26,0.12,17.45,0.22,R
Alabama,Baldwin County,1003,AL,0.92,0.02,253507.0,74248.0,0.09,0.72,0.1,506.3,42.65,8957.11,4.36,0.14,76.58,50.16,0.1,14.96,0.19,R
Alabama,Barbour County,1005,AL,0.78,0.04,24585.0,45298.0,0.04,0.77,0.12,-17790.46,22.73,12738.66,5.61,0.35,72.71,71.71,0.1,26.65,0.29,R
Alabama,Bibb County,1007,AL,0.8,0.02,21868.0,56025.0,0.09,0.82,0.11,-3657.8,40.01,11708.95,5.35,0.21,72.98,87.08,0.09,21.54,0.27,R
Alabama,Blount County,1009,AL,0.83,0.02,59816.0,64962.0,0.09,0.81,0.13,-1559.42,64.89,11898.09,4.62,0.17,72.94,58.04,0.08,18.14,0.25,R
Alabama,Bullock County,1011,AL,0.74,0.02,9897.0,36204.0,0.01,0.78,0.11,-27966.27,34.3,15998.09,6.81,0.4,70.97,,0.13,29.56,0.42,R
Alabama,Butler County,1013,AL,0.88,0.03,18382.0,44729.0,0.13,0.77,0.1,-11647.55,27.61,14616.39,5.21,0.37,71.54,69.88,0.08,28.08,0.33,R
Alabama,Calhoun County,1015,AL,0.86,0.03,116429.0,51841.0,0.19,0.8,0.12,-6896.99,46.16,14259.56,4.87,0.28,70.81,60.66,0.11,23.9,0.25,R
Alabama,Chambers County,1017,AL,0.84,0.02,34079.0,50390.0,0.12,0.68,0.13,-22570.9,30.56,12568.86,5.1,0.26,71.86,95.04,0.09,26.13,0.29,R
Alabama,Cherokee County,1019,AL,0.84,0.02,25666.0,56400.0,0.05,0.85,0.13,709.97,40.17,12680.9,4.55,0.2,72.4,56.67,0.08,23.29,0.21,R
Alabama,Chilton County,1021,AL,0.84,0.02,46431.0,59165.0,0.08,0.7,0.13,-3496.42,42.7,11802.63,4.01,0.22,72.71,60.05,0.09,18.29,0.25,R
Alabama,Choctaw County,1023,AL,0.84,0.04,12252.0,47432.0,0.15,0.61,0.11,-16030.77,31.01,12977.18,5.54,0.36,73.06,,0.1,,0.31,R
Alabama,Clarke County,1025,AL,0.85,0.05,22337.0,50868.0,0.03,0.67,0.11,-11989.5,17.83,16382.04,5.6,0.29,69.95,119.07,0.11,21.53,0.28,R
Alabama,Clay County,1027,AL,0.83,0.02,14111.0,52077.0,0.01,0.88,0.11,-4227.11,28.24,13312.8,4.86,0.25,71.85,,0.07,20.59,0.25,R
Alabama,Cleburne County,1029,AL,0.85,0.02,15639.0,59526.0,0.1,0.81,0.12,261.93,52.54,12586.01,4.65,0.22,72.1,93.64,0.06,30.54,0.22,R
Alabama,Coffee County,1031,AL,0.86,0.03,55643.0,64737.0,0.07,0.63,0.12,-5510.55,43.23,10338.9,5.24,0.21,74.2,64.92,0.09,24.77,0.2,R
Alabama,Colbert County,1033,AL,0.88,0.03,58361.0,57770.0,0.06,0.72,0.11,-4385.04,28.08,12369.52,4.66,0.2,73.02,73.2,0.09,23.14,0.26,R
Alabama,Conecuh County,1035,AL,0.87,0.04,11174.0,46702.0,0.16,0.67,0.11,-25715.25,15.55,18927.73,5.33,0.43,68.96,164.25,0.05,34.05,0.31,R
Alabama,Coosa County,1037,AL,0.83,0.03,10268.0,59736.0,0.01,0.58,0.09,-8716.43,55.52,14409.56,4.0,0.28,72.23,,0.03,24.69,0.22,R
Alabama,Covington County,1039,AL,0.86,0.03,37952.0,50119.0,0.08,0.73,0.11,-4252.12,41.03,14664.19,5.63,0.22,70.64,72.9,0.09,23.11,0.3,R
Alabama,Crenshaw County,1041,AL,0.83,0.03,13101.0,49128.0,0.03,0.78,0.13,-5180.06,26.43,13951.81,5.76,0.27,70.42,,0.09,23.74,0.26,R
Alabama,Cullman County,1043,AL,0.85,0.02,92016.0,61231.0,0.05,0.68,0.12,1432.95,79.42,11852.91,4.57,0.21,72.85,50.67,0.08,15.28,0.24,R
Alabama,Dale County,1045,AL,0.86,0.03,49871.0,54697.0,0.09,0.72,0.1,-7736.55,31.21,11939.04,4.81,0.22,73.01,56.53,0.11,25.21,0.24,R
Alabama,Dallas County,1047,AL,0.87,0.05,36165.0,39013.0,0.22,0.72,0.1,-21824.0,49.68,20426.82,5.59,0.46,67.71,73.4,0.13,48.39,0.39,R
Alabama,DeKalb County,1049,AL,0.79,0.02,72569.0,50614.0,0.16,0.79,0.15,-2167.24,74.77,11969.45,4.79,0.29,72.36,61.09,0.09,18.42,0.24,R
Alabama,Elmore County,1051,AL,0.9,0.02,90441.0,73125.0,0.09,0.78,0.09,-4332.46,32.19,9508.12,4.04,0.17,74.61,72.69,0.09,20.28,0.21,R
Alabama,Escambia County,1053,AL,0.83,0.03,36558.0,50333.0,0.17,0.81,0.12,-4481.12,36.93,15044.63,5.4,0.29,70.1,103.02,0.11,19.12,0.29,R
